
 
 GLOSSAIRE DES STATISTIQUES 
 
POS:Position 
 GP:Games Played 
 AB:At Bats 
 R:Runs 
 H:Hits 
 AVG:Batting Average 
 2B:Doubles
3B :Triples 
  HR:Home Runs 
 RBI:Runs Batted In 
 TB:Total Bases 
 BB:Walks 
 K:Strikeouts 
 SB:Stolen Bases 
OBP:On Base Percentage 
 SLG:Slugging Percentage 
 OPS:OPB Pct + SLG Pct 
 WAR:Wins Above Replacement 
 
STATISTIQUES DES SERIES ELIMINATOIRES 2021 DE TOUS LES JOUEURS DE BATON (BASEBALL) DE TOUTES LES DIVISIONS 
 
ARIZONA DIAMONDBACKS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Christian Walker;89;318;44;74;15;1;13;47;130;29;85;6;.233;.304;.409;.713;1.9
Daulton Varsho;88;315;49;85;29;2;10;36;148;42;60;4;.270;.358;.470;.828;2.3
Ketel Marte;86;275;28;69;19;2;12;41;128;26;73;1;.251;.317;.465;.782;1.0
David Peralt;89;268;36;54;7;2;2;21;71;35;65;3;.201;.298;.265;.563;0.0
Geraldo Perdomo;67;237;37;67;13;1;6;29;100;28;55;11;.283;.357;.422;.779;2.2
Josh Rojas;67;230;31;58;11;1;7;25;92;16;48;4;.252;.308;.400;.708;1.7
Alek Thomas;65;213;20;44;6;0;9;31;77;25;63;1;.207;.290;.362;.652;0.4
Pavin Smith;61;152;24;27;5;0;11;26;65;17;48;4;.178;.272;.428;.699;0.3
Jordan Luplow;48;147;22;32;9;0;5;18;56;9;34;0;.218;.273;.381;.654;0.6
Carson Kelly;50;129;14;22;4;3;2;11;38;20;47;4;.171;.282;.295;.576;-0.2
Cooper Hummel;41;111;24;28;8;1;3;10;47;7;34;3;.252;.303;.423;.726;0.6
Jake McCarthy;44;101;9;19;2;0;0;5;21;9;30;0;.188;.255;.208;.462;-0.1
Jose Herrer;36;86;10;19;3;1;3;12;33;3;22;0;.221;.244;.384;.628;-0.2
Sergio Alcantar;27;81;4;17;3;0;1;9;23;8;24;0;.210;.301;.284;.585;-0.4
Seth Beer;26;73;9;18;2;2;1;12;27;6;19;0;.247;.305;.370;.675;0.1
Buddy Kennedy;17;52;7;12;2;0;3;7;23;2;15;0;.231;.259;.442;.702;-0.1
Nick Ahmed;28;50;4;12;2;0;0;3;14;8;17;0;.240;.345;.280;.625;0.0
Jake Hager;12;24;2;2;0;0;0;0;2;2;4;2;.083;.154;.083;.237;0.0
Yonny Hernandez;6;13;2;2;1;0;0;1;3;1;6;0;.154;.214;.231;.445;-0.2
Drew Ellis;5;10;1;1;0;0;1;1;4;3;3;0;.100;.308;.400;.708;-0.1
Matt Davidson;2;6;0;1;0;0;0;0;1;2;3;0;.167;.375;.167;.542;0.0
TOTAL;98;3229;422;732;153;17;112;397;1255;349;831;43;.227;.306;.389;.695;

 
ATLANTA BRAVES
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Matt Olson;98;384;60;113;27;1;28;64;226;31;106;2;.294;.356;.589;.945;4.5
Austin Riley;100;383;66;113;21;1;15;54;181;33;110;14;.295;.355;.473;.827;4.0
Dansby Swanson;94;363;44;81;12;0;18;40;147;26;90;2;.223;.277;.405;.682;-0.7
Marcell Ozun;86;287;39;61;16;1;12;36;115;21;101;0;.213;.276;.401;.677;0.0
Adam Duvall;67;257;38;65;15;0;11;39;113;11;55;0;.253;.299;.440;.739;0.7
Travis d'Arnaud;64;251;39;65;11;0;8;23;100;31;72;21;.259;.357;.398;.756;1.1
Ronald Acuna Jr.;62;242;34;59;15;0;8;33;98;15;46;3;.244;.289;.405;.694;0.8
Ozzie Albies;54;196;32;56;10;2;9;30;97;7;50;11;.286;.317;.495;.812;2.2
Michael Harris II;49;163;24;41;9;0;11;23;83;22;49;2;.252;.341;.509;.850;1.4
William Contreras;47;141;15;34;5;0;5;21;54;17;39;0;.241;.323;.383;.706;0.2
Orlando Arci;32;100;9;16;2;0;2;6;24;5;26;2;.160;.196;.240;.436;-1.2
Eddie Rosario;26;89;9;19;2;0;3;6;30;6;32;0;.213;.260;.337;.597;-0.5
Travis Demeritte;46;63;9;8;2;1;3;6;21;6;28;0;.127;.203;.333;.536;-0.1
Guillermo Heredi;13;33;3;4;0;0;1;2;7;3;9;0;.121;.194;.212;.407;-0.4
Alex Dickerson;9;26;1;4;1;0;0;0;5;1;4;0;.154;.185;.192;.377;-0.4
Robinson Cano;12;23;4;6;0;0;0;0;6;1;6;0;.261;.292;.261;.553;-0.2
Phil Gosselin;5;14;1;2;0;0;0;2;2;1;1;0;.143;.235;.143;.378;0.0
Manny Pin;5;7;0;0;0;0;0;0;0;1;2;0;.000;.125;.000;.125;-0.2
TOTAL;100;3407;474;844;183;6;154;451;1501;288;933;57;.248;.312;.441;.752;

 
BALTIMORE ORIOLES
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Cedric Mullins;92;349;49;92;24;1;12;47;154;22;73;2;.264;.322;.441;.763;2.7
Austin Hays;89;343;37;93;16;1;10;40;141;32;82;0;.271;.346;.411;.757;1.9
Trey Mancini;91;338;45;83;13;0;17;52;147;35;72;0;.246;.330;.435;.765;1.0
Anthony Santander;86;338;41;87;21;0;14;48;150;19;92;4;.257;.296;.444;.740;1.1
Ryan Mountcastle;92;300;37;64;14;4;8;26;110;16;99;24;.213;.262;.367;.628;1.9
Jorge Mateo;87;275;33;55;14;3;10;37;105;19;75;1;.200;.262;.382;.643;0.0
Rougned Odor;68;238;33;62;13;0;11;36;108;14;57;0;.261;.302;.454;.756;2.6
Ramon Urias;52;179;29;43;18;1;5;17;78;23;38;1;.240;.338;.436;.774;2.0
Adley Rutschman;49;143;7;22;8;0;2;15;36;14;52;1;.154;.247;.252;.499;-0.1
Robinson Chirinos;47;137;17;28;3;0;2;15;37;19;40;0;.204;.313;.270;.583;0.0
Tyler Nevin;67;97;16;24;6;0;1;6;33;6;39;2;.247;.302;.340;.642;0.6
Ryan McKenn;26;56;6;6;2;0;0;0;8;10;24;1;.107;.254;.143;.397;-0.5
Chris Owings;22;52;4;6;2;0;1;1;11;6;17;0;.115;.207;.212;.418;-0.2
